recession_id,start_date,end_date,duration_months,name,primary_causes,gdp_decline_percent,peak_unemployment_rate,notable_policy_responses
2072,1955-12-21,1958-06-20,30,Mid 1955s Trade War Recession,Natural disasters; Financial market contagion; Fiscal policy contraction,21.9,9.0,Direct payments to citizens; Regulatory reforms; Debt restructuring
2073,1976-06-30,1976-12-19,6,Mid 1976s Regional Recession,Political instability; Consumer confidence collapse,0.5,3.0,Business loan programs; Trade policy adjustments
2074,1948-01-18,1950-06-13,29,Mid 1948s Fiscal Crisis,Supply chain disruptions; Pandemic outbreak,4.9,10.7,Direct payments to citizens
2075,1981-07-13,1981-11-03,4,Early 1981s Monetary Crisis,Market speculation; War or conflict; Political instability,18.0,16.6,Infrastructure investment
2076,1836-08-08,1837-06-04,10,Mid 1836s Industrial Decline,Banking system failure,28.1,18.7,Regulatory reforms
2077,1892-05-20,1894-07-17,26,Mid 1892s Banking Crisis,Technological disruption; Pandemic outbreak,9.6,12.4,Regulatory reforms
2078,1881-11-14,1883-09-17,22,Early 1881s Housing Bubble,Consumer confidence collapse; Excessive debt accumulation; Natural disasters,29.9,17.6,Trade policy adjustments; Price controls; Nationalization of key industries
2079,2017-06-10,2019-11-25,29,Early 2017s Stagflation Period,Financial market contagion; Banking system failure; Trade restrictions,12.6,6.2,Mortgage relief; Unemployment benefit extensions; Trade policy adjustments
2080,1963-11-02,1964-07-29,8,Mid 1963s Structural Recession,Fiscal policy contraction; Inflation spike,1.4,18.5,Trade policy adjustments; Increased government spending
2081,1895-10-26,1897-03-14,17,Mid 1895s Banking Crisis,Credit crunch; Pandemic outbreak; Trade restrictions,10.2,6.4,Interest rate cuts; Mortgage relief
2082,1977-03-30,1977-07-12,4,Early 1977s Economic Downturn,Regulatory changes; Inflation spike; Currency devaluation,23.5,13.1,Price controls; Tax cuts; Infrastructure investment
2083,1905-08-01,1906-09-19,13,Mid 1905s Monetary Crisis,Banking system failure,4.0,20.5,Debt restructuring; Direct payments to citizens; Unemployment benefit extensions
2084,1952-06-09,1953-05-28,11,Early 1952s Banking Crisis,Consumer confidence collapse; Energy crisis,11.9,13.1,Increased government spending; Nationalization of key industries; Unemployment benefit extensions
2085,1949-03-15,1951-01-10,22,Early 1949s Housing Bubble,Natural disasters; Fiscal policy contraction,10.5,12.5,Quantitative easing; Bank bailouts
2086,1884-04-25,1884-07-13,3,Early 1884s Stagflation Period,Energy crisis; Consumer confidence collapse; Regulatory changes,5.3,9.8,Debt restructuring
2087,1952-05-09,1952-10-14,5,Mid 1952s Market Crash,Consumer confidence collapse; Energy crisis,27.9,24.8,Infrastructure investment
2088,1928-08-13,1928-10-14,2,Early 1928s Housing Bubble,Financial market contagion,3.4,18.2,Nationalization of key industries
2089,2018-08-26,2020-07-08,23,Late 2018s Monetary Crisis,Consumer confidence collapse; Banking system failure,17.2,20.7,Regulatory reforms
2090,1905-06-28,1907-02-14,20,Mid 1905s Global Slowdown,Trade restrictions; War or conflict; Currency devaluation,26.5,3.5,Mortgage relief
2091,1936-10-14,1937-09-16,11,Early 1936s Fiscal Crisis,Technological disruption; Excessive debt accumulation; Natural disasters,12.4,22.9,Debt restructuring; Mortgage relief
2092,2013-12-04,2016-01-31,25,Mid 2013s Trade War Recession,Trade restrictions; Asset bubble burst; Banking system failure,26.1,19.3,Currency intervention; Capital controls
2093,1823-08-17,1824-12-28,16,Late 1823s Commodity Crash,Credit crunch; Financial market contagion,15.0,17.3,Emergency lending facilities; International financial assistance
2094,2006-09-09,2008-08-26,23,Late 2006s Deflationary Spiral,Excessive debt accumulation; Regulatory changes; Monetary policy tightening,24.4,22.2,Mortgage relief; Infrastructure investment; Price controls
2095,1992-01-19,1992-12-21,11,Early 1992s Housing Bubble,Energy crisis; War or conflict,29.7,7.5,Interest rate cuts; Tax cuts; Debt restructuring
2096,1960-11-22,1963-03-16,28,Mid 1960s Banking Crisis,War or conflict; Energy crisis; Banking system failure,10.5,24.2,Bank bailouts; Debt restructuring; Increased government spending
2097,1972-10-03,1973-06-24,8,Late 1972s Tech Bubble,Regulatory changes; Pandemic outbreak; Energy crisis,9.2,10.2,Interest rate cuts; Currency intervention; Unemployment benefit extensions
2098,1804-09-14,1805-01-31,4,Early 1804s Currency Crisis,Technological disruption; Financial market contagion,9.6,15.9,International financial assistance
2099,2006-07-16,2007-05-30,10,Late 2006s Financial Crisis,Pandemic outbreak,4.9,22.5,Mortgage relief; Increased government spending; Infrastructure investment
2100,1941-11-02,1943-11-05,24,Late 1941s Demand Shock,Consumer confidence collapse; Political instability; Banking system failure,23.5,14.7,Bank bailouts
2101,1893-07-23,1895-02-27,19,Early 1893s Commodity Crash,Consumer confidence collapse; Inflation spike,5.4,12.8,Quantitative easing; Fiscal stimulus package; Tax cuts
2102,1805-06-02,1808-01-14,31,Late 1805s Demand Shock,War or conflict; Excessive debt accumulation,22.1,6.7,Fiscal stimulus package
2103,1808-07-17,1808-12-12,5,Late 1808s Stagflation Period,Excessive debt accumulation; Market speculation; Inflation spike,27.0,3.9,International financial assistance
2104,1951-04-25,1951-08-21,4,Early 1951s Demand Shock,Technological disruption; War or conflict; Fiscal policy contraction,19.6,19.2,Price controls
2105,1954-10-02,1956-10-14,24,Mid 1954s Banking Crisis,Credit crunch; Trade restrictions; Fiscal policy contraction,26.3,20.2,Direct payments to citizens; Tax cuts; Nationalization of key industries
2106,1891-02-26,1892-12-04,22,Mid 1891s Structural Recession,Asset bubble burst; Natural disasters; Pandemic outbreak,19.7,19.7,Increased government spending; Trade policy adjustments; Quantitative easing
2107,1841-06-18,1842-11-15,17,Mid 1841s Deflationary Spiral,Credit crunch; Natural disasters; Pandemic outbreak,8.9,23.3,Mortgage relief; Currency intervention; International financial assistance
2108,1969-02-04,1971-04-06,26,Early 1969s Monetary Crisis,Fiscal policy contraction,17.2,23.2,Infrastructure investment; International financial assistance; Mortgage relief
2109,1931-01-04,1932-09-25,20,Late 1931s Debt Crisis,Monetary policy tightening; Currency devaluation,27.5,17.8,Direct payments to citizens; Bank bailouts; International financial assistance
2110,1977-09-13,1978-04-10,7,Late 1977s Supply Shock,Banking system failure,16.1,11.2,Trade policy adjustments; Fiscal stimulus package; International financial assistance
2111,1990-04-13,1991-12-27,20,Mid 1990s Commodity Crash,Supply chain disruptions; Political instability,29.8,21.0,Quantitative easing; Trade policy adjustments; International financial assistance
2112,1904-08-21,1905-09-07,13,Mid 1904s Supply Shock,Market speculation; Pandemic outbreak; Regulatory changes,23.1,5.3,International financial assistance; Currency intervention
2113,1956-02-05,1958-01-25,23,Mid 1956s Regional Recession,Market speculation; Credit crunch; Financial market contagion,20.3,23.9,International financial assistance; Nationalization of key industries
2114,1834-10-18,1835-07-21,9,Late 1834s Monetary Crisis,Excessive debt accumulation,11.2,15.2,Infrastructure investment; Unemployment benefit extensions; Fiscal stimulus package
2115,1912-04-05,1912-09-13,5,Late 1912s Stagflation Period,Technological disruption; Fiscal policy contraction,21.8,17.8,Fiscal stimulus package; Direct payments to citizens
2116,1883-12-01,1884-09-12,9,Mid 1883s Banking Crisis,Political instability; Natural disasters; Technological disruption,1.1,19.0,Emergency lending facilities; Fiscal stimulus package; Tax cuts
2117,2002-07-04,2003-02-12,7,Mid 2002s Debt Crisis,Fiscal policy contraction; Inflation spike,20.9,20.5,Interest rate cuts
2118,1905-07-11,1907-05-17,22,Late 1905s Demand Shock,Inflation spike; Credit crunch,5.5,8.9,Emergency lending facilities; Trade policy adjustments
2119,2007-09-27,2010-03-08,30,Mid 2007s Tech Bubble,Excessive debt accumulation,10.2,3.5,Currency intervention; Fiscal stimulus package
2120,1885-01-31,1886-02-10,13,Mid 1885s Monetary Crisis,Financial market contagion; Currency devaluation,25.7,22.5,Bank bailouts; Trade policy adjustments
2121,2017-12-04,2019-02-25,14,Mid 2017s Structural Recession,Technological disruption,25.8,19.1,Interest rate cuts; Business loan programs
2122,1867-12-20,1869-09-01,21,Late 1867s Supply Shock,Credit crunch; Monetary policy tightening; Banking system failure,16.2,24.4,Price controls; Regulatory reforms
2123,1990-09-12,1993-05-17,32,Early 1990s Trade War Recession,War or conflict,9.9,23.5,Infrastructure investment
2124,1866-03-05,1868-10-25,31,Early 1866s Supply Shock,Fiscal policy contraction,10.0,8.6,Trade policy adjustments; International financial assistance
2125,1884-02-28,1885-03-30,13,Early 1884s Debt Crisis,Energy crisis; Regulatory changes,24.3,11.6,Fiscal stimulus package; Quantitative easing; Increased government spending
2126,1977-06-02,1979-05-13,23,Late 1977s Trade War Recession,Trade restrictions; Supply chain disruptions,13.2,16.4,Debt restructuring; Bank bailouts
2127,1874-11-13,1875-11-02,12,Early 1874s Deflationary Spiral,Excessive debt accumulation,0.3,11.9,Capital controls
2128,1881-01-12,1883-07-01,30,Early 1881s Market Crash,Credit crunch,30.0,22.3,Capital controls
2129,1915-09-22,1918-04-25,31,Mid 1915s Monetary Crisis,Consumer confidence collapse,6.9,18.8,Nationalization of key industries
2130,2007-10-25,2008-06-05,8,Mid 2007s Debt Crisis,Asset bubble burst,29.5,23.5,Capital controls; Currency intervention
2131,1857-04-21,1859-09-24,29,Mid 1857s Financial Crisis,Excessive debt accumulation,24.4,23.1,Unemployment benefit extensions
2132,1956-03-19,1958-05-14,26,Early 1956s Deflationary Spiral,Trade restrictions; Energy crisis; Inflation spike,5.8,20.4,Debt restructuring
2133,2021-02-10,2021-10-11,8,Mid 2021s Fiscal Crisis,War or conflict,7.0,5.3,Debt restructuring; Infrastructure investment
2134,1965-10-09,1966-12-20,14,Mid 1965s Commodity Crash,Natural disasters; Financial market contagion; Supply chain disruptions,3.9,24.2,Tax cuts
2135,1997-08-04,2000-01-24,29,Late 1997s Economic Downturn,Supply chain disruptions,26.0,9.0,Infrastructure investment
2136,1806-03-27,1808-09-26,30,Early 1806s Economic Downturn,Energy crisis,20.3,12.9,International financial assistance; Infrastructure investment; Price controls
2137,1824-10-03,1826-11-10,25,Mid 1824s Deflationary Spiral,Excessive debt accumulation,16.2,4.9,Unemployment benefit extensions; Nationalization of key industries
2138,1975-04-29,1977-04-05,24,Early 1975s Stagflation Period,Pandemic outbreak; Market speculation; Political instability,9.8,11.1,Trade policy adjustments; Debt restructuring
2139,1862-09-30,1864-07-18,22,Mid 1862s Global Slowdown,Supply chain disruptions; Pandemic outbreak; Credit crunch,27.6,3.2,Unemployment benefit extensions; Bank bailouts; Interest rate cuts
2140,1802-03-16,1803-01-07,10,Late 1802s Tech Bubble,Inflation spike; Political instability; Consumer confidence collapse,22.3,24.8,Quantitative easing; Nationalization of key industries; Emergency lending facilities
2141,2006-07-19,2007-05-28,10,Late 2006s Currency Crisis,Supply chain disruptions; Technological disruption,27.0,18.6,Infrastructure investment; Emergency lending facilities; Interest rate cuts
2142,1962-01-21,1962-09-17,8,Late 1962s Deflationary Spiral,Currency devaluation,14.7,15.2,Unemployment benefit extensions; Direct payments to citizens; Trade policy adjustments
2143,1960-03-01,1960-08-03,5,Early 1960s Economic Downturn,Energy crisis,19.9,16.0,Debt restructuring
2144,1885-04-12,1887-08-03,28,Early 1885s Currency Crisis,Consumer confidence collapse; Credit crunch,3.6,4.0,Increased government spending; Direct payments to citizens
2145,1992-01-31,1994-08-18,31,Early 1992s Regional Recession,Excessive debt accumulation,21.3,22.8,International financial assistance
2146,1936-10-20,1938-01-02,15,Late 1936s Fiscal Crisis,War or conflict; Energy crisis; Regulatory changes,11.7,7.0,Unemployment benefit extensions
2147,1916-02-13,1916-12-31,10,Early 1916s Deflationary Spiral,Consumer confidence collapse; Natural disasters,0.8,23.6,Business loan programs
2148,1871-09-04,1872-10-31,13,Late 1871s Fiscal Crisis,Market speculation; Regulatory changes,23.0,21.9,Business loan programs; International financial assistance; Regulatory reforms
2149,1896-09-23,1899-02-17,29,Mid 1896s Monetary Crisis,Credit crunch; Excessive debt accumulation,5.5,20.0,Interest rate cuts
2150,1970-09-15,1972-11-18,26,Mid 1970s Trade War Recession,Supply chain disruptions; Technological disruption; Market speculation,18.3,8.1,Capital controls; Interest rate cuts; Tax cuts
2151,1984-12-24,1985-12-25,12,Early 1984s Stagflation Period,Excessive debt accumulation; Banking system failure,19.4,23.4,Quantitative easing; Regulatory reforms; Capital controls
2152,1949-05-05,1949-08-25,3,Early 1949s Tech Bubble,War or conflict; Market speculation,6.9,9.4,Nationalization of key industries; Regulatory reforms
2153,1807-04-14,1808-04-30,12,Late 1807s Trade War Recession,Banking system failure,24.6,18.5,International financial assistance; Interest rate cuts
2154,1923-06-03,1925-07-13,25,Early 1923s Structural Recession,Monetary policy tightening; Political instability,15.4,3.6,International financial assistance; Debt restructuring; Increased government spending
2155,1904-11-12,1905-05-06,6,Mid 1904s Supply Shock,Pandemic outbreak,16.2,10.8,Price controls; Business loan programs
2156,1828-05-16,1830-05-30,24,Early 1828s Currency Crisis,Trade restrictions; Political instability,0.2,9.0,Debt restructuring; Tax cuts; Regulatory reforms
2157,1894-06-23,1896-02-23,20,Early 1894s Market Crash,Credit crunch; Energy crisis; Pandemic outbreak,22.6,10.6,Nationalization of key industries; Debt restructuring
2158,1877-04-13,1877-08-11,4,Mid 1877s Demand Shock,Fiscal policy contraction,1.9,20.8,Debt restructuring; Tax cuts
2159,1882-11-02,1884-02-05,15,Early 1882s Deflationary Spiral,Monetary policy tightening; Trade restrictions,20.1,22.2,Capital controls; Debt restructuring; Infrastructure investment
2160,1873-02-18,1875-09-02,31,Mid 1873s Debt Crisis,Trade restrictions; Pandemic outbreak,11.7,23.5,Unemployment benefit extensions; Tax cuts
2161,2007-06-23,2008-05-17,11,Early 2007s Global Slowdown,Credit crunch; Excessive debt accumulation,0.5,20.3,Direct payments to citizens
2162,1906-06-04,1908-08-13,26,Early 1906s Global Slowdown,Fiscal policy contraction,28.4,22.4,Mortgage relief
2163,1969-04-19,1969-09-01,5,Early 1969s Financial Crisis,Inflation spike; Political instability; Supply chain disruptions,18.7,23.0,Debt restructuring; Bank bailouts
2164,1832-10-11,1833-03-05,5,Mid 1832s Currency Crisis,Credit crunch,27.3,19.7,Capital controls
2165,1825-08-01,1828-02-16,30,Late 1825s Deflationary Spiral,Excessive debt accumulation; Credit crunch; Inflation spike,27.5,12.1,Interest rate cuts; Nationalization of key industries
2166,1822-10-10,1823-04-30,6,Late 1822s Tech Bubble,Financial market contagion,12.2,3.2,Trade policy adjustments; Currency intervention; Fiscal stimulus package
2167,1971-09-21,1973-07-11,22,Late 1971s Economic Downturn,Financial market contagion; Monetary policy tightening,26.3,6.0,Infrastructure investment; Trade policy adjustments; Unemployment benefit extensions
2168,2020-10-08,2023-05-16,31,Early 2020s Supply Shock,Inflation spike; Monetary policy tightening; Political instability,16.7,18.4,Business loan programs; Regulatory reforms; Price controls
2169,1976-06-07,1977-11-28,17,Mid 1976s Economic Downturn,Regulatory changes; Financial market contagion,23.6,21.3,Increased government spending; Emergency lending facilities
2170,1966-01-28,1968-02-03,25,Mid 1966s Tech Bubble,Supply chain disruptions; Monetary policy tightening; Currency devaluation,24.7,3.1,Regulatory reforms
2171,1862-01-31,1864-02-22,25,Late 1862s Banking Crisis,Market speculation,19.1,11.2,Quantitative easing; Bank bailouts; Debt restructuring
2172,1969-11-06,1970-10-13,11,Late 1969s Banking Crisis,Banking system failure; Trade restrictions; Supply chain disruptions,20.2,4.4,Direct payments to citizens
2173,1970-04-19,1970-08-19,4,Early 1970s Currency Crisis,Monetary policy tightening,6.9,20.9,Increased government spending; Currency intervention
2174,1859-01-26,1860-07-13,18,Early 1859s Tech Bubble,Credit crunch,25.3,22.1,Regulatory reforms; International financial assistance
2175,1982-10-02,1983-02-04,4,Late 1982s Deflationary Spiral,Monetary policy tightening,24.5,13.5,Tax cuts; Price controls; Fiscal stimulus package
2176,1904-10-14,1905-11-05,13,Mid 1904s Currency Crisis,Monetary policy tightening,23.1,8.5,Price controls
2177,2014-01-13,2015-10-27,21,Mid 2014s Commodity Crash,Supply chain disruptions,24.7,19.2,Business loan programs; Tax cuts
2178,1971-04-11,1972-12-01,20,Mid 1971s Structural Recession,Monetary policy tightening; Consumer confidence collapse,7.1,12.1,Price controls
2179,1808-12-25,1809-04-10,4,Late 1808s Banking Crisis,Inflation spike; Political instability; Currency devaluation,27.6,3.0,Infrastructure investment
2180,1820-09-01,1823-01-25,28,Mid 1820s Regional Recession,Currency devaluation,23.8,11.3,Bank bailouts
2181,1925-07-15,1925-09-22,2,Late 1925s Global Slowdown,Credit crunch; Natural disasters,27.8,19.3,Direct payments to citizens
2182,1942-10-30,1944-03-21,17,Late 1942s Currency Crisis,Natural disasters,5.4,10.7,Increased government spending
2183,1927-12-11,1929-05-19,17,Mid 1927s Trade War Recession,Consumer confidence collapse; Currency devaluation; Market speculation,8.8,20.2,Infrastructure investment; Nationalization of key industries; Price controls
2184,1917-10-02,1919-06-25,20,Mid 1917s Global Slowdown,Banking system failure,21.0,4.8,Nationalization of key industries; Interest rate cuts; Quantitative easing
2185,1836-12-21,1838-09-14,21,Early 1836s Fiscal Crisis,Monetary policy tightening; Energy crisis; Banking system failure,25.0,22.4,Quantitative easing; Emergency lending facilities
2186,1878-09-30,1880-05-27,20,Late 1878s Financial Crisis,Banking system failure; Excessive debt accumulation,6.0,21.6,Mortgage relief
2187,1997-04-14,1999-07-17,27,Early 1997s Economic Downturn,Currency devaluation,6.2,6.1,Unemployment benefit extensions; Interest rate cuts; Regulatory reforms
2188,1913-02-07,1914-03-25,13,Mid 1913s Industrial Decline,Credit crunch,15.1,17.9,Fiscal stimulus package; Business loan programs; Tax cuts
2189,1968-07-11,1970-05-31,22,Mid 1968s Monetary Crisis,Credit crunch; Consumer confidence collapse; Pandemic outbreak,15.4,3.9,Mortgage relief; Emergency lending facilities; Fiscal stimulus package
2190,1872-10-04,1873-01-17,3,Early 1872s Debt Crisis,Consumer confidence collapse; Trade restrictions; Banking system failure,28.1,3.3,Interest rate cuts; Debt restructuring; Nationalization of key industries
2191,1864-08-31,1865-11-05,15,Mid 1864s Currency Crisis,Political instability; Credit crunch,17.4,13.9,Debt restructuring; Mortgage relief
2192,1828-03-29,1829-10-15,19,Late 1828s Supply Shock,Supply chain disruptions,27.3,12.3,Emergency lending facilities; Nationalization of key industries
2193,1908-03-29,1910-05-08,26,Mid 1908s Regional Recession,Asset bubble burst; Banking system failure; Credit crunch,9.0,9.4,Capital controls
2194,1911-10-09,1912-09-21,11,Early 1911s Structural Recession,Trade restrictions,8.8,13.8,Regulatory reforms
2195,1849-11-15,1851-02-14,15,Mid 1849s Tech Bubble,Excessive debt accumulation; Pandemic outbreak,23.4,9.6,Bank bailouts; International financial assistance; Infrastructure investment
2196,1916-09-19,1917-12-18,15,Mid 1916s Monetary Crisis,Consumer confidence collapse; Natural disasters; Pandemic outbreak,25.9,23.4,Mortgage relief; Trade policy adjustments; Price controls
2197,1809-02-13,1811-02-16,24,Mid 1809s Regional Recession,Regulatory changes,2.3,16.7,Increased government spending
2198,1948-09-12,1951-04-30,31,Early 1948s Trade War Recession,Consumer confidence collapse; Monetary policy tightening,4.9,13.0,Mortgage relief; Nationalization of key industries; Unemployment benefit extensions
2199,1877-03-18,1878-06-04,15,Late 1877s Tech Bubble,Asset bubble burst,24.7,3.4,Tax cuts; Direct payments to citizens; Fiscal stimulus package
2200,1812-03-26,1814-05-04,26,Mid 1812s Regional Recession,Banking system failure,5.0,16.6,Nationalization of key industries; Capital controls
2201,1903-12-31,1904-12-07,12,Early 1903s Demand Shock,Political instability; Financial market contagion,24.1,14.4,Mortgage relief; Quantitative easing
2202,1885-06-26,1886-11-04,17,Late 1885s Demand Shock,War or conflict; Currency devaluation,26.8,15.0,Regulatory reforms; Capital controls
2203,1887-09-23,1888-08-30,11,Early 1887s Market Crash,Inflation spike; Asset bubble burst; Pandemic outbreak,8.6,10.7,Quantitative easing; Business loan programs; Bank bailouts
2204,2021-05-01,2022-04-05,11,Mid 2021s Structural Recession,Banking system failure; Financial market contagion; Trade restrictions,16.1,18.3,Quantitative easing; Bank bailouts
2205,1953-01-16,1953-11-30,10,Mid 1953s Banking Crisis,Technological disruption; Credit crunch; Asset bubble burst,12.6,15.7,Infrastructure investment
2206,1851-09-11,1852-04-24,7,Mid 1851s Regional Recession,Energy crisis,27.2,11.0,Debt restructuring
2207,1952-10-13,1954-06-13,20,Late 1952s Industrial Decline,Trade restrictions; Technological disruption,25.4,11.6,Currency intervention; Emergency lending facilities; Interest rate cuts
2208,1982-04-29,1984-11-11,31,Late 1982s Monetary Crisis,Political instability,28.0,10.6,Currency intervention; Quantitative easing
2209,1905-10-05,1907-10-25,24,Late 1905s Deflationary Spiral,Pandemic outbreak,19.0,20.4,Interest rate cuts
2210,1901-01-19,1902-01-02,12,Early 1901s Industrial Decline,Political instability; Currency devaluation; Inflation spike,0.8,6.9,Increased government spending
2211,1885-08-09,1887-08-24,24,Early 1885s Fiscal Crisis,Currency devaluation; Energy crisis; Fiscal policy contraction,8.4,3.7,Currency intervention; Mortgage relief; Nationalization of key industries
2212,1956-01-11,1958-04-18,27,Late 1956s Fiscal Crisis,Market speculation,7.8,5.7,Regulatory reforms; Price controls
2213,1892-12-25,1893-08-10,8,Early 1892s Commodity Crash,Regulatory changes; Supply chain disruptions,4.2,5.9,Mortgage relief; Price controls; Fiscal stimulus package
2214,1915-01-17,1916-09-13,20,Early 1915s Monetary Crisis,Credit crunch; Consumer confidence collapse,24.0,7.8,Currency intervention; Emergency lending facilities
2215,1896-09-01,1898-03-05,18,Late 1896s Structural Recession,Excessive debt accumulation; Natural disasters,5.7,24.4,Interest rate cuts
2216,2015-02-17,2015-08-16,6,Mid 2015s Economic Downturn,Inflation spike; Natural disasters; Energy crisis,0.6,23.4,Quantitative easing; Tax cuts
2217,1808-03-07,1810-04-11,25,Early 1808s Housing Bubble,Consumer confidence collapse; Regulatory changes,13.6,18.4,Interest rate cuts; Regulatory reforms
2218,1886-03-04,1887-08-26,17,Late 1886s Structural Recession,Natural disasters; Political instability; Fiscal policy contraction,12.7,13.2,Capital controls; International financial assistance; Business loan programs
2219,1811-02-09,1811-07-27,5,Early 1811s Structural Recession,Pandemic outbreak,24.3,11.4,Business loan programs; Quantitative easing; Debt restructuring
2220,2003-07-24,2005-09-16,26,Early 2003s Monetary Crisis,Fiscal policy contraction; Supply chain disruptions,21.0,8.4,Debt restructuring; Capital controls; Interest rate cuts
2221,1832-06-03,1834-11-04,29,Mid 1832s Banking Crisis,Banking system failure; Excessive debt accumulation,16.1,19.3,Trade policy adjustments; Increased government spending
2222,1905-08-28,1907-10-26,26,Mid 1905s Deflationary Spiral,Excessive debt accumulation; Currency devaluation,10.9,17.9,Trade policy adjustments; Interest rate cuts; Fiscal stimulus package
2223,1895-08-08,1896-10-04,14,Late 1895s Supply Shock,Currency devaluation,9.1,4.0,Bank bailouts
2224,1878-09-10,1880-02-04,17,Late 1878s Industrial Decline,Credit crunch,7.7,15.1,Regulatory reforms
2225,1810-06-26,1811-06-15,12,Early 1810s Housing Bubble,Banking system failure,24.2,23.5,Trade policy adjustments; Quantitative easing
2226,1955-10-17,1958-01-15,27,Mid 1955s Economic Downturn,Banking system failure; Natural disasters,29.9,20.4,Price controls
2227,1901-11-06,1902-05-18,6,Early 1901s Deflationary Spiral,Pandemic outbreak,17.1,7.6,Infrastructure investment
2228,1966-04-14,1968-10-06,30,Mid 1966s Deflationary Spiral,Political instability,4.6,15.3,Price controls; International financial assistance; Direct payments to citizens
2229,1871-09-02,1873-12-22,27,Early 1871s Supply Shock,Technological disruption,3.9,6.7,Increased government spending; Business loan programs; Interest rate cuts
2230,2007-04-26,2008-05-07,13,Mid 2007s Economic Downturn,Energy crisis; Banking system failure; Regulatory changes,1.3,9.3,Nationalization of key industries
2231,1900-12-08,1901-10-12,10,Early 1900s Banking Crisis,Fiscal policy contraction,14.3,17.3,Nationalization of key industries; Emergency lending facilities; Increased government spending
2232,1997-08-06,1999-06-29,22,Late 1997s Market Crash,Currency devaluation,1.0,17.0,Tax cuts; Interest rate cuts; Quantitative easing
2233,1958-02-23,1958-12-23,10,Early 1958s Monetary Crisis,Monetary policy tightening,6.0,14.6,Fiscal stimulus package; Price controls
2234,1862-08-10,1864-06-15,22,Late 1862s Global Slowdown,Fiscal policy contraction; War or conflict; Regulatory changes,16.6,10.0,Tax cuts
2235,2016-04-07,2017-09-25,17,Early 2016s Industrial Decline,Supply chain disruptions; Political instability,12.4,5.3,Interest rate cuts; Direct payments to citizens; Currency intervention
2236,1949-02-23,1951-02-16,24,Late 1949s Commodity Crash,Excessive debt accumulation,2.2,17.9,Infrastructure investment
2237,1943-05-22,1946-01-08,32,Early 1943s Commodity Crash,War or conflict; Market speculation,19.0,3.4,Regulatory reforms; Business loan programs
2238,1948-07-03,1949-08-21,13,Early 1948s Structural Recession,Excessive debt accumulation,19.0,21.6,Emergency lending facilities
2239,1996-08-23,1999-01-26,29,Late 1996s Stagflation Period,Fiscal policy contraction; Energy crisis; Monetary policy tightening,15.1,19.6,Debt restructuring; Infrastructure investment; Price controls
2240,1825-12-13,1827-01-03,13,Late 1825s Regional Recession,Fiscal policy contraction,17.8,17.4,Business loan programs; Mortgage relief; Capital controls
2241,1822-12-07,1824-02-09,14,Early 1822s Structural Recession,Trade restrictions; Political instability,16.4,14.1,International financial assistance
2242,1887-10-17,1889-02-22,16,Mid 1887s Monetary Crisis,Technological disruption; Monetary policy tightening; Inflation spike,3.0,19.4,Trade policy adjustments
2243,1910-12-10,1911-02-20,2,Early 1910s Supply Shock,Fiscal policy contraction,9.4,13.2,Tax cuts; Price controls
2244,1898-01-06,1900-05-03,28,Early 1898s Regional Recession,Consumer confidence collapse,12.9,22.8,Tax cuts
2245,1839-02-03,1839-04-07,2,Late 1839s Economic Downturn,Fiscal policy contraction; Supply chain disruptions; Currency devaluation,10.9,8.7,Increased government spending; Direct payments to citizens
2246,1981-02-02,1983-01-14,23,Early 1981s Economic Downturn,Excessive debt accumulation; Regulatory changes; Natural disasters,17.4,17.5,Interest rate cuts; Currency intervention; Quantitative easing
2247,1835-08-11,1838-01-03,29,Early 1835s Trade War Recession,Energy crisis; Credit crunch,7.0,12.1,Regulatory reforms; Nationalization of key industries
2248,1830-02-13,1832-04-03,26,Late 1830s Monetary Crisis,Political instability; Energy crisis; Banking system failure,10.4,11.2,Infrastructure investment; Nationalization of key industries; Price controls
2249,2010-07-15,2012-07-09,24,Late 2010s Fiscal Crisis,Inflation spike,5.6,7.3,Quantitative easing; Nationalization of key industries; Fiscal stimulus package
2250,1916-10-11,1917-03-07,5,Early 1916s Tech Bubble,Supply chain disruptions; Natural disasters; Inflation spike,17.8,21.4,Bank bailouts; Currency intervention; Debt restructuring
2251,1898-05-27,1900-11-07,30,Early 1898s Financial Crisis,Energy crisis; Asset bubble burst,22.0,24.6,Emergency lending facilities
2252,1854-08-07,1856-05-19,21,Late 1854s Supply Shock,Excessive debt accumulation,5.7,8.3,Unemployment benefit extensions
2253,1809-03-25,1810-03-14,12,Early 1809s Deflationary Spiral,Monetary policy tightening; Inflation spike; Excessive debt accumulation,20.4,8.8,Unemployment benefit extensions; Fiscal stimulus package; Price controls
2254,1872-11-21,1873-02-10,3,Late 1872s Global Slowdown,Fiscal policy contraction,0.6,8.2,Debt restructuring
2255,1919-12-14,1922-01-13,25,Late 1919s Stagflation Period,Energy crisis; Natural disasters,20.8,3.4,Capital controls
2256,2001-03-31,2003-08-15,29,Late 2001s Demand Shock,Banking system failure; Fiscal policy contraction,26.8,17.9,International financial assistance; Nationalization of key industries; Quantitative easing
2257,1856-07-22,1857-03-24,8,Early 1856s Trade War Recession,Pandemic outbreak; Credit crunch; Financial market contagion,12.9,3.5,Direct payments to citizens; Unemployment benefit extensions
